Taxonomy Node,Node Type,Procore Table,Procore Column(s),Mapping Method,Signal Type,Estimated Coverage,Confidence,Notes
Low Voltage Cable & Devices,Material,project_management.submittals,title,"Keyword: '%data%' OR '%camera%' OR '%card reader%' OR '%fiber%' OR '%Cat6%'",Submittal,Medium,Medium,"Less per-item tracking than MEP/finishes. System-level submittals."
Elevator Components,Material,project_management.submittals,title,"Keyword: '%elevator%'",Submittal,Medium,Medium,"Typically proprietary. Limited submittal detail in Procore."
Lumber & Wood,Material,project_management.submittals,title,"Keyword: '%lumber%' OR '%plywood%' OR '%engineered wood%'",Submittal,Low,Low,"Less formal submittals than steel/concrete."
Soil / Fill Material,Material,project_management.daily_log_delivery,contents,"Keyword: '%fill%' OR '%soil%' OR '%gravel%' OR '%aggregate%'",Delivery Log,Low,Low,"Not in Procore material tables. Tracked via delivery logs only."
"--- SCHEDULE ---",,,,,,,,
Activity Types (Summary / Detail / Milestone),Activity Structure,project_management.schedule_task,"activity_id, name, schedule_duration, percentage, actual_start/finish, baseline_start/finish, start/finish_date, critical_path, milestone, wbs","Direct — legacy imported schedule. Predecessors as comma-separated WBS strings (no relationship type or lag). No float, constraints, or calendars.",Schedule (Legacy),High,Medium,"LEGACY tool. Still active on many projects. Limited CPM fidelity — no typed relationships, no float values."
Activity Types (Summary / Detail / Milestone),Activity Structure,project_management.scheduling_activity,"schedule_activity_id, activity_name, display_id, start_date, finish_date, is_actual_start, is_actual_finish, duration, duration_unit, percent_done, total_float, is_critical, constraint_type, constraint_date, calendar_id, calendar_name, resource_data (JSON), crew_size, category_data (JSON), vendor_id, vendor_name, deadline_date, deadline_variance, parent_id, note","Direct — full CPM-grade data. Float, constraints, calendars, resources, trade assignment.",Schedule (New),High,High,"NEW tool. Enables DCMA 14-point analysis, float distribution, constraint ratio, calendar validation, resource analysis, and trade-level filtering."
Activity Codes / Custom Fields,Activity Structure,project_management.scheduling_activity_custom_fields,"scheduling_activity_custom_field_id, schedule_activity_id, custom_field_name, custom_field_value, custom_field_data_type",Direct — extensible activity code system for dimensional analysis,Schedule (New),Medium,High,"Replaces P6 activity codes with custom field framework. Enables trade, area, phase, and responsibility analysis."
Relationship Types (FS/SS/FF/SF),Logic & Dependencies,project_management.scheduling_relationship,"schedule_relationship_id, from_activity, to_activity, dependency_type (FS/SS/FF/SF), lag, lag_display_unit, is_active, schedule_id",Direct — typed dependencies with lag values,Schedule (New),High,High,"Enables relationship type ratio, lag analysis, logic quality checks, open end detection, driving relationship analysis."
Schedule Metadata (Baselines / Data Dates),Schedule Lifecycle,project_management.scheduling_type,"schedule_id, name, type, is_active, imported_data_date, start_date, calendar_id, parent_schedule_id, project_id",Direct — schedule entity definition with type and baseline linkage,Schedule (New),Medium,High,"parent_schedule_id links to baselines. imported_data_date is the data date. is_active distinguishes current from superseded."
Schedule Change Tracking,Schedule Lifecycle,project_management.schedule_task_changes,"old/new_start_at, old/new_finish_at, old/new_duration, old/new_percentage, old/new_name, reason (free text), when_at",Direct — structured delta tracking with timestamps,Schedule (Legacy),High,High,"Unique structured audit trail. P6 Schedule Log is less structured. when_at is the timestamp column (NOT created_at)."
Field-Initiated Schedule Update,Schedule Integration,project_management.schedule_task_requests,"schedule_task_id, new_start_date, new_finish_date, new_percentage, created_by",Direct — sub/field staff proposes schedule changes for scheduler approval,Schedule (Legacy),Medium,High,"No equivalent in P6 or MS Project. Request volume indicates sub engagement with schedule management."
Look-Ahead Schedule,Schedule Hierarchy,project_management.schedule_lookahead + schedule_lookahead_task,"schedule_lookahead: name, starts_at, ends_at, duration_weeks; schedule_lookahead_task: name, dates, resources, companies, assignees, schedule_task_id (FK to CPM)",Direct — look-ahead as first-class entity with own tasks and assignments,Schedule (Legacy),Medium,High,"P6 uses filtered views for look-aheads. Procore models them separately with richer field context (companies, assignees, FK to CPM tasks)."
Schedule-to-Field Linkage,Schedule Integration,project_management.scheduling_activity ↔ daily_log_scheduled_work + rfis.schedule_impact,"schedule_task_id, daily log entries, RFI impact flags","Cross-table linkage — CPM activities connected to daily logs, observations, inspections",Schedule (Both),Medium,Medium,"Procore's native linkage. P6 has no field data. This is where project management platforms add value over standalone scheduling tools."
"--- CROSS-CUTTING MAPPING PATHS ---",,,,,,,,
Cost Code → Building System,Mapping Path,finance.cost_codes,"code, name, standard_cost_code","MasterFormat division prefix (first 2 digits) maps to building system",Mapping Key,N/A,High,"Primary path from financial data to building systems. standard_cost_code provides industry-standard mapping."
WBS Code → Building System,Mapping Path,finance.wbs_codes,"cost_code_id, wbs_code_id","wbs_code links cost_code + line_item_type + sub_job. cost_code_id is the system mapping key.",Mapping Key,N/A,High,"WBS is the full budget segmentation. cost_code_id within it maps to building system."
Vendor → Trade,Mapping Path,core.project_vendors + finance.commitments,"vendor_id, commitment title","Vendor's commitment title describes trade scope. No native 'trade' field on vendor.",Mapping Key,N/A,Medium,"Indirect path. Commitment title + vendor name → trade classification."
Submittal → Material,Mapping Path,project_management.submittals,"title, specification_section_id","Submittal title contains product/material info. spec_section_id links to CSI spec division.",Mapping Key,N/A,High,"Strongest material mapping path. specification_section_id sparse but high-value when populated."
Observation → Building Element,Mapping Path,project_management.observation,"name, location_id","Keyword clustering on name → element category. location_id → physical location.",Mapping Key,N/A,Medium,"Validated 18-category clustering. location_id adds spatial context."
RFI predicted_topic → Building System,Mapping Path,project_management.rfis,predicted_topic,"ML-classified topic directly maps to building systems (176 topics, pre-classified)",Mapping Key,N/A,High,"Best structured signal. Topics like 'Structural Steel Connections' map directly to Structural Frame system."
Change Event → Building System,Mapping Path,finance.change_event_line_items,wbs_code_id,"wbs_code_id → cost_code → MasterFormat → building system",Mapping Key,N/A,High,"Financial impact by building system. Line items carry cost-code-level granularity."
Daily Log Equipment → Equipment Type,Mapping Path,project_management.daily_log_equipment,equipment_name,"Keyword classification of free-text equipment_name into 12 canonical types",Mapping Key,N/A,Medium,"equipment_name is free text. Needs keyword matching or ML classification."
Daily Log Manpower → Trade,Mapping Path,project_management.daily_log_manpower,trade_name,"Direct trade name field. Keyword normalization to 20 canonical trades.",Mapping Key,N/A,Medium-High,"trade_name is the most direct path. Normalization needed (e.g. 'Electricians' → 'Electrician')."
"--- DOCUMENTS & COMMUNICATIONS ---",,,,,,,,
RFI,Document,project_management.rfis,"subject, question, status, predicted_topic, cost_impact, schedule_impact, drawing_number, due_date, due_date_variance, ball_in_court, overdue, responsible_contractor, assignees","Direct — structured RFI records with ML-classified predicted_topic (176 topics, 91% populated)",Document,"17,540+ cos",High,"Strongest structured document signal. predicted_topic enables zero-NLP topic classification. origin_type links to change_events."
RFI Response,Document,project_management.rfi_responses,"text, responder, date, official_status",Direct — structured response tracking,Document,High,High,"Each response tracked with timestamp and official/preliminary status."
RFI Ball in Court,Workflow,project_management.rfis_bic,"rfi_header_id, response_required, id",Direct — current responsible party tracking,Workflow,High,High,"Ball-in-court identifies who needs to act. Drives response time metrics."
Submittal,Document,project_management.submittals,"title, status, specification_section_id, overdue, due_date, submitted_date, approved_date, ball_in_court, type, received_date, actual_delivery_date, required_on_site_date","Direct — structured submittal records. Title is strongest material signal.",Document,"15K+ cos",High,"actual_delivery_date only 1% populated. required_on_site_date 6%. Title field carries product/material detail."
Submittal Approval,Workflow,project_management.submittal_approvers + submittal_ball_in_courts,"approver, response, response_date, ball_in_court",Direct — structured approval tracking,Workflow,High,High,"Multi-reviewer approval chain. Response status and timing tracked per reviewer."
Drawing Revision,Document,project_management.drawing_revision,"discipline, number, revision, received_date, current, description",Direct — sheet-level revision tracking,Document,High,High,"drawing_revision is widely adopted. Tracks all issued revisions with discipline and current flag."
Correspondence,Document,project_management.correspondences,"type (via correspondence_types), status, subject, assignees",Direct — structured correspondence with configurable types,Document,High,Medium,"correspondence_types defines the per-project taxonomy. correspondence_responses tracks reply chain."
Meeting,Document,project_management.meeting,"title, date, location, status, attendees (via meeting_attendee)",Direct — structured meeting records,Document,High,High,"meeting_attendee tracks participation. Widely adopted."
Meeting Item,Document,project_management.meeting_item,"description, status, assignees (via meeting_item_assignee), due_date, category",Direct — structured action items with carry-forward tracking,Document,High,High,"Items carry forward across meetings. Status and assignee tracking."
Site Instruction,Document,project_management.site_instructions,"title, description, status, assignees, cost_impact",Direct — structured field directives,Document,Medium,Medium,"Less widely adopted than RFIs/submittals but structured when used."
Action Plan,Document,project_management.action_plan + action_plan_line_item,"status, assignees, due_dates, cross-references to other records",Direct — structured task tracking with approval workflows,Document,High,High,"action_plan_line_item_record links tasks to source issues (observations, punch items)."
Photo,Document,project_management.photo,"title, description, location, date, trade, category",Direct — structured photo metadata. Attached to observations/punch items/daily logs.,Document,High,High,"Very high volume. Photos are the visual evidence layer for nearly all other document types."
Specification Section,Document,project_management.specification_sections,"section_number, description, revision",Direct — spec section tracking for submittal and RFI cross-referencing,Document,Medium,Medium,"Adoption depends on whether project team enters spec sections into Procore."
Form / ProForma,Document,project_management.form,"Custom structured fields via ProForma API",Direct — configurable forms with field-level data capture,Document,High,Medium,"ProForma forms provide structured question/answer data. Highly flexible for project-specific needs."
Daily Log Note,Document,project_management.daily_log_note,"comment, is_issue_day",Direct — free-text field observations with issue flag,Document,High,High,"Primary NLP signal source. ~130K+ records for keyword analysis. is_issue_day flag for structured filtering."
Daily Log Phone Call,Document,project_management.daily_log_phone_call,"caller, recipient, subject, notes",Direct — structured call records,Document,Medium,Medium,"Adoption varies. Not all projects track phone calls."
Daily Log Plan Revision,Document,project_management.daily_log_plan_revision,"drawing_number, revision, date_received",Direct — field receipt of drawing revisions,Document,Medium,Medium,"Links to drawing_revision records. Tracks when field teams received updated drawings."
"--- FIELD OPERATIONS ---",,,,,,,,
Daily Log Completion (Header),Field Ops,project_management.daily_log_completion,"log_date, completed, completed_at, distributed, distributed_at, missing_day, variance, day_of_week",Direct — parent record for all daily log entries,Field Log,High,High,"daily_log_completion_id is the FK referenced by ALL child log tables. log_date is the primary date. completed + distributed = data quality signal."
Weather Log,Field Ops,project_management.daily_log_observed_weather_condition,"sky, temperature, precipitation, wind, ground, calamity, is_weather_delay, measured_temperature_high/low/average, measured_precipitation_since_midnight, measured_wind_speed_average/gust/max, measured_humidity_low, average_humidity",Direct — richest weather dataset in construction software,Field Log,High,High,"Dual signal: qualitative superintendent observations + quantitative measured values. is_weather_delay is the primary weather-delay boolean."
Delay Log,Field Ops,project_management.daily_log_delay,"delay_type, duration, start_time, end_time, comments, daily_log_entries_date",Direct — structured delay tracking with delay_type enum,Field Log,High,High,"delay_type is a structured enum (Weather, Material, Safety Event, etc.). 84K Material records, 4,351 cos. Zero NLP needed. Date field is daily_log_entries_date (NOT delay_logs_date)."
Delivery Log,Field Ops,project_management.daily_log_delivery,"contents, delivery_from, tracking_number, time, comments, vendor_name",Direct — material receipt records,Field Log,High,High,"contents (free text) is the primary material receipt signal. delivery_from identifies supplier."
Safety Violation Log,Field Ops,project_management.daily_log_safety_violation,"subject, comments, issued_to, vendor_name, compliance_due, safety_notice",Direct — daily safety violation records,Field Log,Medium,Medium,"subject 66% null. vendor_name free text (no FK). Validated as UNUSABLE for recurrence tracking (insight #11). Volume metric only."
Accident Log,Field Ops,project_management.daily_log_accident,"involved_name, involved_company, comments, time",Direct — lightweight first-report records,Field Log,Medium,Medium,"Links conceptually to incident/incident_record tables for formal OSHA reporting. No direct FK."
Daily Inspection Log,Field Ops,project_management.daily_log_inspection,"inspection_type, inspecting_entity, inspector_name, start, end, comments, area",Direct — daily inspection occurrence records,Field Log,Medium,Medium,"Records WHEN inspections happened; formal inspections tool records WHAT was found."
Visitor Log,Field Ops,project_management.daily_log_visitor,"subject, details, start, end, vendor_name",Direct — site visitor records,Field Log,Medium,Medium,"vendor_name repurposed for visitor organization. Visitor patterns correlate with project phase."
Waste Log,Field Ops,project_management.daily_log_waste,"material, approximate_quantity, method_of_disposal, disposal_location, description, vendor_id",Direct — waste tracking with material type and disposal method,Field Log,Medium,Medium,"material field describes waste type. method_of_disposal enables diversion rate calculation (LEED)."
Dumpster Log,Field Ops,project_management.daily_log_dumpster,"quantity_delivered, quantity_removed, comments, vendor_name",Direct — dumpster in/out tracking,Field Log,Medium,Medium,"Simple operational metric. Dumpster pulls are a general conditions cost item."
Scheduled Work Log,Field Ops,project_management.daily_log_scheduled_work,"resource_name, showed (BOOLEAN), workers, hours, task_names, hourly_rate, reimbursable",Direct — plan-vs-actual with showed boolean,Field Log,High,High,"showed boolean = Last Planner PPC equivalent. Links to schedule via daily_log_scheduled_work_task."
Scheduled Work Task Link,Field Ops,project_management.daily_log_scheduled_work_task,"task_name, task_percentage, schedule_task_id (FK to schedule_task)",Direct — bridges daily log to CPM schedule,Field Log,High,High,"schedule_task_id is the critical FK. No equivalent in P6 — Procore-native field-to-schedule linkage."
Productivity Log,Field Ops,project_management.daily_log_productivity,"quantity_delivered, quantity_used, previously_delivered, previously_used, commitment_id, commitment_line_item_id",Direct — vendor-level delivery/installation tracking,Field Log,Low (622 cos),Low,"Very low adoption limits benchmarking value. Links to commitments for scope tracking."
Quantity Log,Field Ops,project_management.daily_log_quantity,"quantity, unit, description, cost_code_id, cost_code_name, location_id",Direct — cost-code-level installed quantities,Field Log,Medium,Medium,"cost_code linkage enables quantity-based % complete by budget line item."
Construction Reports,Field Ops,project_management.daily_log_construction_reports,"trade_name, trade_id, vendor_name, vendor_id, apprentice_hours, journeyman_hours, foreman_hours, minority_hours, women_hours, veteran_hours, local_city_hours",Direct — certified payroll and workforce diversity reporting,Field Log,High,High,"Required on public projects with prevailing wage/diversity requirements. Detailed classification and demographic breakdowns."
"--- FUTURE DATA SOURCES (NOT YET READY) ---",,,,,,,,
Materials (all),Material,workforce.materials,All columns,Direct material master,Material Master,Not Ready,N/A,"When ready: authoritative material catalog. Currently no access."
Material Procurement,Material,workforce.materials_purchase_order,All columns,Direct PO tracking,Procurement,Not Ready,N/A,"When ready: material ordering data. Links materials to vendors and costs."
Material Receipts,Material,workforce.materials_receipt,All columns,Direct receipt tracking,Procurement,Not Ready,N/A,"When ready: what was actually received on site."
Material Shipments,Material,workforce.materials_shipment,All columns,Direct shipment tracking,Procurement,Not Ready,N/A,"When ready: shipment tracking with dates."
Equipment Master,Equipment,workforce.equipment,All columns,Direct equipment catalog,Equipment Master,Not Ready,N/A,"When ready: authoritative equipment list with specs."
Equipment Timecards,Equipment,workforce.equipment_timecard_entry,All columns,Direct equipment time tracking,Equipment Log,Not Ready,N/A,"When ready: structured time entries per equipment unit."
Timecards (labor),Trade,workforce.timecard_entries,All columns,Direct labor time tracking,Workforce,Not Ready,N/A,"When ready: structured labor hours by employee/trade."
Employees,Trade,workforce.employees,All columns,Employee info including job title/role,Workforce,Not Ready,N/A,"When ready: employee-level trade classification."
T&M Labor,Trade,workforce.time_and_material_labors,All columns,T&M labor entries,Workforce,Not Ready,N/A,"When ready: labor tracking on T&M tickets."
T&M Equipment,Equipment,workforce.time_and_material_equipments,All columns,T&M equipment entries,Workforce,Not Ready,N/A,"When ready: equipment tracking on T&M tickets."
T&M Materials,Material,workforce.time_and_material_materials,All columns,T&M material entries,Workforce,Not Ready,N/A,"When ready: material tracking on T&M tickets."
